KB,D,HK,DD,HD
6,5,44,24422,7954
2,4,14,7757,6224
12,3,50,31056,6336
13,5,51,43470,16041
1,7,25,18769,1247
6,7,28,35975,9485
2,5,29,38337,9363
7,3,51,23094,5677
3,7,23,20776,9371
0,7,1,17372,3038
3,1,32,9029,397
6,0,33,24448,4582
9,0,35,19884,3425
0,0,26,2599,1641
0,0,27,1954,15099
3,0,36,11996,1038
1,2,1,10741,1466
0,3,1,955,8527
0,3,1,9862,211
6,0,36,18433,2831
0,0,35,911,26698
0,4,1,3043,2887
0,5,1,7294,3281
4,0,36,14970,3268
0,2,0,0,10195
0,4,0,16450,7277
6,0,34,23189,6444
0,5,1,6858,2459
10,4,58,40092,14538
12,6,53,31347,14346
9,2,62,70441,494
2,4,22,17089,15538
4,1,61,35490,3726
1,7,25,29034,1174
5,4,25,19992,3683
3,11,21,24742,11005
0,10,25,4955,43833
2,5,57,31076,4839
2,2,54,18823,5387
0,6,27,2618,57836
13,3,57,37267,11643
3,3,56,17418,16583
2,5,25,31043,16953
13,3,62,48575,19527
8,9,23,42133,9465
2,4,24,25663,13130
7,9,23,32757,12189
1,3,61,6332,54914
3,2,23,30895,7157
8,6,38,85175,23305
9,6,40,46851,8477
2,5,46,38946,11987
15,4,49,123000,35145
7,8,41,132000,25295
0,6,40,10874,150000
3,5,22,53580,38579
4,4,37,41529,9268
3,5,31,19953,17449
2,6,41,42427,26412
3,5,27,52437,35221
8,5,47,47375,13113
7,4,35,50943,27311
0,6,47,1244,81587
5,3,43,89434,8523
7,3,47,63903,12224
5,8,39,59106,23215
6,6,42,78565,42581
11,11,48,109000,9050
0,2,17,1404,111000
2,4,17,23373,5920
3,4,17,72205,35392
0,6,1,13751,1416
3,1,25,46804,16934
4,1,16,39910,3120
5,1,27,62571,17566
1,3,19,7340,48071
3,3,19,46793,11099
0,3,24,14956,70297
0,8,19,3896,70444
4,0,30,38997,9283
1,6,11,20832,8656
4,2,27,79679,31249
2,2,21,34753,11306
13,2,24,99446,16581
1,3,18,16276,79725
6,2,24,57857,17782
0,3,16,16256,3467
0,1,7,9475,1849
1,4,11,12144,4054
0,7,9,12337,6720
3,6,13,36969,3986
0,6,8,14450,3295
1,2,45,5337,55768
0,5,7,270,28254
1,0,4,8489,309
5,1,48,16152,8432
4,2,52,31053,12454
0,2,46,1484,39236
3,1,49,31740,3400
11,0,54,35220,887
6,1,24,13117,1164
2,5,9,17113,1766
3,6,9,31140,8288
4,8,10,49434,18988
12,1,56,54907,3873
7,2,51,33027,17150
6,2,51,38638,2456
0,9,10,6983,41303
0,6,4,9076,8398
5,0,22,25425,6302
4,1,29,30894,2304
0,0,37,5414,70045
6,1,24,25013,16005
0,6,6,8472,1798
1,1,34,10538,24935
0,5,8,1556,44968
0,3,5,17832,2562
0,0,3,7081,442
2,1,12,11182,1967
3,1,24,16420,8102
3,4,4,38595,6677
1,1,5,6260,870
0,1,24,3903,21364
9,0,33,49713,5274
0,5,3,5137,29520
1,5,4,12083,91
3,3,7,28483,5374
11,2,38,38895,6568
0,2,19,5362,1982
9,0,37,68070,7779
7,1,37,33215,7643
8,0,39,72723,22079
0,4,0,35874,5516
0,3,2,8092,4200
3,2,5,16626,3718
0,9,0,3159,31023
0,3,1,10158,15965
1,0,9,9851,1973
1,1,5,38656,17995
1,3,3,14831,13896
0,4,1,14915,10955
2,1,22,21614,5073
0,0,39,7135,90943
0,2,1,5971,0
3,1,20,21950,6446
0,0,8,3575,3463
0,5,1,27489,19149
11,0,38,75321,22441
0,0,20,1838,52542
2,0,9,19349,315
6,1,18,93288,7983
0,4,1,13500,42184
2,0,22,28188,4095
0,0,22,3021,62329
6,0,22,47380,7762
2,1,3,47257,26763
0,1,3,25257,25648
0,5,0,11521,10533
0,0,14,3011,14531
3,1,20,32965,2700
0,2,1,13386,2302
0,2,1,10012,19590
0,1,3,4461,105
0,1,3,6852,1536
0,2,2,51929,9739
1,3,3,33120,3651
3,1,18,24069,11209
0,0,20,743,64975
9,0,47,61047,8097
0,8,0,52850,5448
3,0,37,51960,2985
0,0,48,89098,12649
0,0,32,2971,39918
0,6,0,44644,6760
9,0,46,71646,16102
0,1,0,0,32218
2,0,30,33017,5245
0,4,0,1110,24319
0,9,0,71967,24561
1,0,17,10280,915
0,2,0,14892,14134
4,0,48,61508,4299
0,0,0,872,445
11,0,47,54087,15989
0,0,47,10568,127000
0,5,0,4206,37555
0,1,0,1818,0
0,2,0,5683,5309
3,4,21,41100,23172
0,5,12,1118,99044
4,4,16,33017,6854
4,1,26,22624,7012
8,3,30,38779,17181
5,3,22,41010,7769
3,2,19,24494,7590
1,5,10,5254,50267
1,3,27,30826,9849
3,4,21,22158,12842
0,7,13,36633,6862
2,4,9,38542,4321
13,1,34,86224,25128
1,5,10,54158,9919
1,2,13,13693,20245
7,5,22,111000,15850
5,1,29,59524,26524
1,2,29,7425,51759
1,4,7,46376,15261
2,3,25,61206,22649
3,0,22,48823,14259
3,3,17,48932,15757
4,1,29,24388,2596
1,4,9,17734,8223
6,1,24,67905,7930
6,1,21,53403,16902
3,5,7,36252,16261
0,2,27,10925,68694
5,0,15,21996,0
0,2,5,5778,5784
0,1,11,1256,84714
0,5,6,51890,12249
4,2,23,55751,13024
0,1,27,6631,55709
2,4,7,27514,4503
2,4,9,40972,26314
2,2,11,43490,11718
4,2,25,61060,1578
0,1,5,12015,4128
5,5,20,73062,12905
4,7,30,95493,29129
0,4,45,224,215000
2,3,28,49531,13027
4,3,26,63651,31561
1,7,28,8938,99399
7,5,28,127000,23979
3,5,25,44336,6910
11,3,35,45332,8293
6,4,38,100000,12070
8,3,39,96730,7997
0,5,28,3990,101000
8,5,38,86617,52555
9,4,35,192000,46517
5,5,25,70827,20915
2,7,21,52432,4377
4,2,35,58944,4813
4,4,16,39249,26497
1,4,35,44200,142000
3,7,25,82345,29406
4,0,8,28773,3928
0,0,22,1818,179000
4,0,21,66986,7942
0,2,0,16669,4304
0,4,7,50752,13190
0,2,19,10968,88406
1,0,2,12938,2906
1,3,3,8580,3849
0,1,3,61503,755
3,2,21,57596,20110
3,0,20,71472,17020
0,2,1,0,56983
3,3,9,96378,29466
5,2,14,49937,14438
4,1,21,69992,25463
1,2,5,27113,77543
0,4,3,3724,6158
4,2,21,40051,6659
1,2,3,17515,410
1,1,21,26795,1614
1,0,14,17038,11942
0,0,14,31409,2725
2,0,21,27294,15874
6,1,16,23478,2245
6,1,18,26419,5497
2,0,21,1838,52741
0,2,3,55422,11236
0,0,15,8015,64070
1,2,14,23118,2056
1,0,21,21644,10471
1,0,9,9409,1033
1,1,3,8058,2416
0,1,2,4373,1069
1,1,1,6121,1327
1,5,3,31448,14585
0,6,4,31924,5502
3,4,8,38457,5352
3,4,28,34703,6249
1,5,9,31721,1171
1,4,8,29680,10595
0,7,8,14569,64481
1,4,9,27807,1661
1,5,9,24202,63842
0,3,8,13578,6885
6,2,25,85170,22911
1,0,7,23191,10470
1,0,16,10206,1572
12,0,36,41656,3957
1,4,8,30254,9574
0,1,7,21819,1979
0,0,21,7749,52641
4,0,20,39708,409
3,1,25,13093,174
4,0,36,75698,14705
4,1,36,63787,7516
0,1,32,516,117000
2,4,29,19886,2915
0,3,16,16158,8072
9,3,36,17010,13374
2,6,17,10223,1022
2,5,27,18184,1077
9,5,31,26001,18171
3,3,32,27319,20566
2,3,7,7190,72
2,2,21,18661,3799
8,4,33,47819,2398
7,2,28,32654,1827
3,3,26,26450,8498
1,6,27,5136,47706
1,3,14,3918,5727
2,3,20,28567,6885
4,5,29,17411,6764
5,4,24,25677,14269
1,3,27,3320,56390
2,0,12,8004,1824
7,5,29,43702,2318
2,3,16,17842,4086
2,5,16,12875,9739
10,2,37,39952,6818
2,3,28,19670,15925
1,4,27,20314,2488
5,3,16,12360,897
0,3,20,1449,34559
6,3,22,27615,5366
8,3,36,33178,2201
1,6,22,7179,42196
2,5,21,22808,13292
10,1,44,43183,8469
8,1,32,17498,3366
5,2,40,33816,12701
4,7,18,29558,13978
1,7,15,15382,8608
2,4,22,29908,3776
4,4,18,22348,12307
1,5,13,11851,2518
1,5,17,2312,24190
7,0,25,13547,2293
5,1,28,16167,1690
1,1,8,10903,4449
0,2,2,1130,13428
0,3,1,964,2071
0,0,28,3740,36886
1,0,20,13687,1538
1,1,2,2666,402
0,2,4,3686,3172
7,0,26,21372,7173
1,5,3,13910,8891
1,6,3,16141,2741
0,4,3,23924,17004
0,2,17,8964,854
4,0,27,21642,9028
1,5,3,7476,2542
1,2,2,9393,8427
3,0,24,14931,3200
0,1,1,3326,801
4,1,23,17228,7512
0,4,9,524,23763
5,1,27,25186,14420
1,4,22,18539,594
1,3,9,13985,2410
0,5,9,14465,6638
0,2,27,3469,31656
1,3,10,11823,5543
0,2,5,263,19462
6,2,11,21348,7193
1,1,8,16602,3269
1,0,12,15571,3013
3,0,25,8107,3011
1,2,5,6613,1813
5,2,26,23585,5757
3,3,12,17675,5534
2,1,16,7612,2420
2,5,8,16273,3274
8,0,32,28829,4829
2,5,5,16207,5416
1,1,29,8091,13856
6,3,58,25925,11314
6,2,57,28438,5258
8,3,55,45584,7932
0,0,59,7664,54796
2,6,12,32693,7929
8,0,63,36252,11032
0,0,63,519,112000
0,7,11,26600,16275
0,8,11,29222,19680
1,8,13,30888,4536
3,6,12,53560,3941
1,7,13,4277,26203
3,4,14,55258,1439
7,2,53,30572,25501
12,1,59,50490,11310
4,7,11,44185,4955
3,3,62,21305,5853
0,4,11,182,19596
0,6,12,7665,7230
12,0,63,40777,2773
7,3,39,47600,15357
0,0,40,727,98081
0,4,11,4183,77442
1,3,14,36888,7085
1,7,9,43025,5737
7,0,40,79804,11908
0,3,9,6092,28164
9,2,38,58892,13942
1,3,35,30043,1733
1,1,10,54384,15453
4,6,13,51673,3985
1,4,14,43972,21916
3,5,10,52674,5553
1,0,40,2881,76860
4,0,40,39389,2558
1,6,10,40636,7398
5,2,39,46325,38957
0,0,6,420,21512
2,3,37,52797,10996
4,2,35,55274,10055
1,3,19,28403,9156
4,4,36,33317,8092
3,2,41,15656,3075
4,1,42,32779,8813
5,2,38,27892,21767
2,7,16,31373,2979
6,4,35,34928,21698
6,2,40,36875,3791
4,6,20,40171,15493
0,3,36,9444,115000
3,5,14,80459,25562
6,6,18,58965,10083
2,3,21,18810,10863
1,2,7,27430,3198
1,2,4,14054,3579
5,2,38,42652,6062
2,4,17,17365,6644
1,5,18,40260,1691
3,3,42,38129,18149
6,0,44,56388,19717
15,3,51,110000,25344
12,2,53,107000,33890
10,4,41,89306,13354
9,5,48,111000,8083
8,6,39,71519,14853
8,5,41,57200,10280
7,7,38,56858,4410
6,3,51,62616,20198
5,7,45,52500,14125
4,4,41,75821,18728
3,7,40,49141,5890
3,5,38,58952,3635
2,6,34,24641,9937
2,6,42,40390,12718
1,1,54,32768,95948
0,8,35,10532,109000
0,5,44,8162,31777
0,5,35,30200,50294
0,4,41,33043,5391
0,4,38,842,98411
5,2,27,52828,4933
8,1,56,78372,9397
2,8,17,67018,13042
11,3,50,61415,14373
7,5,48,44773,6194
4,7,19,47193,17033
4,3,26,85965,12005
4,5,49,53797,32985
0,4,52,19266,76639
0,7,21,16805,5233
0,6,19,2014,20466
1,3,26,50143,13530
1,5,41,23257,10814
3,0,56,20153,152000
5,3,52,57792,2635
3,3,49,16615,12417
2,5,22,14164,51093
5,7,20,66317,12336
2,7,22,56111,6297
