KB,D,HK,DD,HD
4,4,29,46414,19217
7,2,28,104000,34998
1,2,29,20372,79291
0,1,29,48240,29674
1,4,27,59600,8308
4,4,23,37579,3402
3,3,29,55729,19326
3,0,34,54994,26212
0,5,23,12998,79425
3,4,27,55327,36991
12,2,33,81315,10460
1,6,21,16802,8411
0,5,25,21782,23432
4,3,28,75946,16173
10,3,28,74197,14695
1,2,32,32438,98708
7,6,23,73409,30464
2,4,26,59405,25173
1,4,25,25761,58115
2,3,27,41414,5750
0,3,15,0,66928
7,0,28,73701,21588
0,1,24,25296,111000
3,1,25,40026,36321
0,1,27,38078,58817
3,2,24,36389,5221
1,0,11,96704,12228
0,1,0,5697,18144
2,2,10,71775,18721
1,5,11,36228,13733
8,2,22,97126,21608
4,1,28,74696,39307
1,0,12,22934,19422
1,1,22,27006,6452
3,0,29,67338,8606
1,4,11,75329,18949
1,3,11,8766,100000
2,4,11,29406,8871
2,5,9,67620,24024
0,2,10,11692,88207
2,3,18,52491,21481
1,2,18,33614,14559
0,3,12,20547,13390
1,5,17,88020,24392
10,3,20,92733,60297
0,2,20,13276,86882
1,1,13,38643,2700
1,0,20,2159,118000
1,3,15,41647,1042
1,0,17,35969,28741
5,2,20,67594,621
6,2,20,89300,3024
1,2,14,1789,105000
2,0,19,37654,8491
2,1,19,56612,7518
2,3,19,52988,8123
1,6,13,29730,3175
0,2,19,577,127000
2,0,21,42614,4805
2,3,18,72038,10765
3,5,34,79387,23139
2,5,24,18538,10957
6,3,26,54396,18409
4,2,36,63824,20400
1,2,41,43946,12397
2,6,24,42361,5312
0,6,27,17410,76331
2,2,36,50098,11640
4,3,28,23223,16265
4,5,30,49644,8022
4,3,29,41129,6890
2,4,24,44383,18195
11,2,37,55388,18266
0,3,28,20104,187000
5,4,37,79233,13187
3,1,31,39909,10916
5,7,24,69268,11930
2,2,37,43340,9089
8,5,37,64925,14865
3,2,27,21125,2785
3,1,25,18983,2559
0,3,2,18961,12088
0,0,22,11712,20971
0,4,2,9570,50375
1,0,21,18582,16514
6,0,27,47882,10956
0,1,21,2546,38005
4,0,21,23460,2043
1,2,3,10657,13873
0,0,22,6499,2361
0,4,2,24926,6241
0,2,1,5600,471
0,2,0,6817,1893
7,0,27,73614,21771
1,3,3,14415,4740
5,0,26,26243,6251
0,3,3,27011,7361
1,3,3,21616,5783
0,1,0,7214,566
0,1,23,25346,3250
5,0,31,24019,3994
0,6,2,9812,5017
0,3,22,23058,5782
0,3,12,5460,68361
0,2,12,25462,1785
0,1,28,8938,39199
7,0,29,74219,12448
0,3,8,12855,0
1,2,8,36184,36415
1,4,12,43677,12207
6,1,30,49165,12107
0,0,29,5654,75041
3,4,8,45164,4224
8,0,29,72909,33505
1,2,10,40400,11782
4,2,26,38886,8513
2,1,28,40049,17434
3,3,11,43222,23118
0,4,18,17197,14095
3,4,11,25390,4349
8,2,48,72172,14621
3,6,24,60541,35613
8,4,27,80872,26021
6,6,35,34069,5596
0,4,24,24079,66847
1,4,35,13709,90141
1,4,23,41015,8243
0,4,30,6142,124000
3,6,29,55131,13724
0,2,46,646,128000
5,4,45,107000,38420
5,7,16,52927,7381
2,5,24,79689,13014
7,6,28,130000,29799
2,5,24,33359,23717
5,3,45,70824,38067
7,1,50,71404,26570
4,6,22,78396,10610
8,4,44,139000,39809
3,2,20,52218,23854
1,2,10,26369,4916
0,5,6,3522,31583
0,5,9,35443,13197
3,1,26,44303,4843
0,3,25,11846,52272
2,3,10,20394,4053
5,1,25,44062,11772
3,2,13,32348,5501
2,3,13,42602,8904
1,2,10,22461,12895
0,1,21,4937,41267
2,1,26,17937,159
2,2,12,15625,17184
2,1,19,27293,19674
2,2,12,33835,6429
0,4,9,2574,23333
5,2,25,35404,19317
6,1,21,34791,1575
4,0,21,30937,4151
4,4,16,54755,10169
0,4,27,12895,80812
1,3,14,24057,14599
6,5,20,36555,9149
3,3,20,61445,16100
0,3,17,2799,137000
3,2,19,48704,10466
2,5,18,35854,14808
0,2,27,48998,8304
3,3,20,48489,15025
3,2,25,65066,11760
1,6,13,20937,9241
1,2,23,15155,1606
7,1,27,45936,11892
1,2,19,46488,7809
5,2,29,45191,16677
1,2,26,7754,84643
5,1,28,69220,32772
9,1,29,60272,17169
0,2,19,22689,4764
1,7,23,28927,7751
3,2,52,59230,4158
1,3,30,6129,57789
7,3,27,143000,15719
7,7,22,147000,17062
6,6,26,142000,34656
14,2,56,105000,43579
1,6,22,59717,30726
0,7,24,14383,99617
2,3,54,31536,139000
0,2,58,2789,166000
5,3,51,39532,20908
9,4,51,74487,48343
0,5,22,6832,49159
8,4,54,93782,9998
2,8,16,30408,3860
1,6,22,60308,12021
9,2,56,87233,30989
5,0,59,94488,34179
7,0,26,43550,5535
1,4,2,47519,1381
1,1,26,15274,1913
0,3,1,22694,5585
5,0,26,31397,7194
2,1,23,25568,9383
0,2,1,19993,1455
0,3,2,10236,40293
0,3,2,0,31435
0,1,1,44736,3767
0,0,26,3,122000
0,2,1,13191,1934
3,0,26,44885,2218
0,0,26,2611,42207
1,2,2,47462,14893
2,0,26,43001,9542
4,0,26,31327,6114
2,0,26,15547,6132
0,3,1,8578,3794
8,0,36,62110,4091
0,2,4,0,19846
1,0,26,13733,0
6,0,36,28133,361
3,1,33,23615,756
0,3,0,0,35978
3,3,3,35264,7593
3,1,32,14690,8530
0,2,4,9462,6233
0,3,2,8125,24
1,1,32,7405,38314
4,0,36,37396,3482
3,0,36,59535,1452
0,4,4,7485,3762
3,1,30,17903,11241
0,4,4,10755,7558
0,4,3,18582,3782
0,4,4,22115,0
1,5,4,50276,1613
0,0,36,4813,70012
2,2,14,38821,19496
4,3,32,31925,4893
2,4,16,31296,3807
0,3,18,30155,8495
1,6,14,33514,2108
4,1,32,36120,6815
0,2,33,13806,98538
0,3,28,1441,70523
6,2,28,59682,4309
6,5,16,96631,4271
0,3,13,5753,72375
4,0,33,18836,10123
2,4,18,25417,7118
0,1,18,7369,6601
3,2,32,57571,6090
3,1,34,53048,6765
1,3,33,32887,24753
8,1,34,64269,3439
0,4,14,7573,56754
15,2,68,66185,5171
0,1,64,2163,174000
4,4,60,67632,13870
2,5,29,61679,38866
7,5,29,69788,12341
4,6,27,68495,23956
0,9,22,35093,5991
4,3,59,43720,9135
0,6,55,7508,95265
8,4,56,92223,24163
4,7,27,47053,20279
1,8,24,41114,14760
7,5,31,93291,51750
10,4,61,110000,29781
10,6,64,79357,39566
9,6,28,129000,17565
0,7,27,4126,53718
1,9,27,49829,19258
9,2,62,93060,17061
7,3,58,69499,5511
2,6,33,24152,4962
6,5,34,40831,10648
4,3,59,37246,12544
4,5,36,57082,28817
3,5,58,48130,4521
10,4,57,105000,27371
0,8,39,24957,8796
5,5,40,56318,26732
1,5,59,45045,6296
0,9,28,25938,84548
3,4,57,70136,26207
5,4,42,53193,16934
6,7,36,99579,38579
5,9,33,58546,22037
2,6,38,5902,110000
7,3,61,87281,52407
4,4,57,72397,23753
20,3,59,84419,31867
7,7,37,63078,10799
10,4,53,73122,29725
8,2,55,89690,11771
3,5,13,38565,11677
18,2,51,125000,22416
1,5,48,10258,4514
0,4,17,3469,58348
3,1,55,47394,4342
1,6,14,27170,10446
11,2,52,85531,21211
9,1,53,35697,2991
5,1,55,94639,6911
0,4,43,24060,1961
0,0,55,2222,84019
0,6,14,15020,63435
1,3,13,23441,3283
4,6,13,52498,20817
0,0,55,378,151000
1,7,13,38963,17063
0,1,3,185,12731
2,7,13,102000,98012
1,7,14,74785,9045
2,4,26,49446,10841
0,3,26,8487,79988
7,2,41,161000,84231
0,3,27,7059,62691
5,0,36,53887,17832
4,5,22,90660,11438
5,6,30,69237,5640
0,7,21,26976,150000
4,6,24,30687,13733
0,3,29,6462,105000
0,4,27,10800,146000
7,5,27,161000,28546
4,5,29,47666,10671
11,5,38,75466,26947
8,3,35,96725,17765
6,3,38,115000,29834
5,6,33,74281,15159
6,3,40,97285,20120
4,5,32,47222,29288
2,1,24,23986,11571
12,3,31,123000,16627
1,4,25,58146,17166
4,4,24,44636,4602
1,5,23,9148,90863
1,4,16,71623,15668
1,1,19,17405,45947
9,4,27,70786,10526
5,4,20,99743,15667
2,4,27,65567,14002
8,3,19,164000,35874
0,0,9,8544,13642
6,3,31,80915,8821
0,1,21,2824,91371
0,3,19,24276,104000
0,6,30,29125,7659
4,5,17,51172,12978
0,2,31,8832,188000
6,4,31,134000,41314
1,3,21,30263,23336
3,0,27,25521,7568
1,4,8,32625,16571
8,2,34,49275,22545
1,1,34,32927,13968
1,6,6,30388,4327
1,2,8,22873,10859
4,3,33,40555,30877
0,0,29,10375,40682
3,1,29,14032,4485
0,3,3,7211,113712
6,0,34,27751,10156
7,1,34,60236,17928
0,3,5,13082,1432
4,4,9,43926,15883
0,5,3,1041,15967
1,2,7,20456,3081
0,2,7,4860,5683
4,1,29,47244,16348
1,0,25,3943,5309
1,0,18,3190,45142
0,3,7,4010,12027
0,2,26,1187,43768
0,0,7,21752,5291
3,0,8,11116,2438
6,3,28,91108,24208
1,3,12,20240,6525
1,0,24,59417,16324
2,2,13,54098,19283
2,0,7,5038,709
6,2,26,69323,20374
5,3,29,59033,26121
2,7,14,53234,13878
4,1,25,26222,5849
1,0,22,31064,15050
1,4,9,57661,30847
0,1,13,28681,5071
0,5,10,2644,97761
1,5,7,36616,6457
7,2,30,32919,12861
0,0,21,8116,100000
4,1,16,58678,14506
0,0,0,5516,8418
8,0,21,70103,18631
1,1,12,56959,5366
0,2,8,34732,13235
0,4,8,11985,55476
2,2,10,53349,12465
1,4,17,41935,9694
3,2,9,32665,4082
0,2,10,15242,4028
2,0,18,85703,10796
6,1,18,54080,11981
0,2,10,43950,13023
0,2,18,2429,117000
1,2,18,88435,30029
0,0,2,21265,43585
0,2,10,1516,143000
0,0,17,5751,6460
1,1,11,82577,6493
4,2,21,60439,11101
0,3,12,6088,86037
1,4,15,27380,25164
0,2,14,21169,28302
3,3,19,82268,11431
5,4,17,58305,7070
0,1,0,6812,1500
0,7,13,66609,9221
0,3,30,37442,10666
0,3,23,13121,55945
3,0,27,33544,83773
1,0,26,23963,76586
0,6,31,35227,8590
1,3,13,23972,1098
5,0,26,59114,27812
4,0,25,25783,19455
14,4,30,83696,20219
7,5,17,53254,7422
0,1,3,12118,1445
10,2,33,104000,25535
0,5,16,29372,13745
1,2,47,8059,175000
5,4,44,69902,8554
3,1,19,27338,9139
7,1,34,50432,4370
0,0,18,16331,2870
5,3,39,77434,12626
4,1,36,57167,12416
0,6,17,21569,133000
0,7,12,2765,97789
7,5,46,132000,36541
4,2,11,62804,7333
2,0,48,7117,285000
3,1,42,46873,8412
4,5,19,137000,87026
0,1,11,8197,37806
3,2,49,178000,7388
3,2,18,152000,74004
1,8,16,94675,24877
3,4,16,84204,17573
5,6,14,66183,21087
6,1,49,86093,37884
0,4,14,1860,99695
1,2,39,12656,93962
6,3,56,96248,56075
6,1,55,87299,9646
8,3,45,46703,12549
2,2,52,59141,8782
1,3,41,13261,61877
0,2,3,18346,11932
0,5,14,42479,23241
9,4,55,72572,20143
2,5,14,55189,12165
2,8,16,69180,7850
6,6,16,94705,24637
6,1,51,80365,5586
2,6,18,30886,166000
10,2,58,117000,28359
0,5,17,13890,13005
2,7,17,26381,3314
6,1,60,70977,20655
2,7,34,33024,151000
6,4,40,119000,42079
2,5,55,53704,23893
1,5,55,55452,22233
8,4,58,119000,37772
4,3,32,73432,12369
3,6,30,72133,15189
6,6,62,66488,22601
1,1,73,18766,235000
7,9,34,69436,19431
4,4,22,66654,8177
1,8,51,24738,167000
7,2,63,84028,9078
1,6,34,80095,26533
1,0,32,41387,16359
4,4,58,80608,13360
1,2,37,5365,152000
3,7,30,32258,14873
8,0,63,102000,41460
8,7,32,112000,29352
7,6,43,202000,92901
8,8,34,62199,13338
9,5,56,87740,37946
6,6,64,116000,21981
1,3,20,38393,18649
3,7,30,58522,13855
4,6,41,76334,11831
13,4,66,82950,29093
3,7,26,65198,22194
6,4,12,33564,15275
1,7,12,12021,52926
2,8,18,29782,11293
2,0,39,41785,11272
13,2,54,70287,21112
0,1,16,46972,14611
4,6,10,50725,9232
1,0,49,24472,110000
5,1,47,41913,22924
5,6,18,67996,16946
6,1,28,34742,10611
6,3,61,75674,30276
0,9,18,37704,12009
2,9,12,69180,12948
0,1,5,0,49057
0,0,38,453,92823
4,2,58,41820,20465
2,4,55,24559,7891
12,2,59,95063,20990
2,1,64,52224,213000
9,3,55,47945,27165
3,2,9,52481,9195
3,0,39,70628,18684
1,4,7,31422,18428
2,7,15,52201,1899
1,6,16,89347,22629
1,6,12,134000,8068
10,1,65,82505,6979
5,4,58,52951,15687
1,4,6,15642,2172
2,6,26,90304,17416
2,1,49,79915,8839
0,4,27,18363,9810
9,4,27,80245,10083
11,1,52,128000,25531
3,4,23,87413,26764
7,6,30,65289,13319
2,0,21,8531,70
5,7,21,113000,24819
2,2,15,32026,14514
2,3,20,91332,29720
4,3,46,59947,68447
3,4,33,86990,9239
0,4,48,22986,130000
0,6,30,33507,147000
3,5,28,52354,6833
0,2,55,9630,156000
0,7,16,107000,17878
18,2,53,134000,17062
4,1,28,64683,31672
0,1,56,20190,210000
1,5,20,65751,17930
8,4,18,63829,16746
1,7,19,69818,16741
4,4,47,77643,23719
6,1,45,63865,8363
1,6,31,35819,10836
0,4,14,4993,110000
4,5,37,92289,12878
0,4,25,2707,96889
1,2,34,27692,222
1,6,28,49060,8143
3,1,42,54417,6343
0,0,36,150000,10649
7,2,38,184000,21679
3,4,34,86417,6003
5,2,36,84526,7123
1,4,36,92206,12729
8,1,43,148000,20298
3,9,30,116000,19390
2,5,32,69929,2970
3,0,29,53204,9763
0,0,33,21668,184000
1,3,32,58086,5265
5,4,39,108000,38592
9,1,39,71097,26900
1,0,27,18612,48750
5,2,45,90654,12704
4,2,42,40277,127000
0,5,37,18131,125000
3,6,35,57983,34554
0,2,44,13613,144000
0,1,27,42151,171000
4,7,30,98092,20535
6,4,38,136000,52794
6,1,32,153000,43691
4,6,34,148000,1949
4,5,35,76572,7607
0,4,35,6880,236000
0,3,33,22401,3162
0,7,61,6717,127000
3,5,23,65371,25229
7,1,36,44999,14648
3,4,22,89195,39462
5,1,71,111000,21765
0,10,18,46444,38058
9,2,70,122000,14898
1,1,35,68510,4446
0,1,13,3161,27321
6,3,55,52896,7776
0,7,20,30370,107000
3,1,64,64523,135000
3,9,25,69430,24870
4,4,23,72376,7290
4,5,23,119000,7817
12,1,59,188000,7732
7,0,70,97494,8672
1,4,20,8570,8597
4,3,71,26300,29905
7,2,70,64303,22698
0,1,9,9378,46171
1,8,21,26038,9593
1,4,20,36835,15934
1,0,67,4599,67918
1,2,68,109000,9075
6,5,24,105000,25400
9,1,55,77187,26581
6,2,65,87135,10680
0,3,10,4914,97201
0,5,28,12704,144000
13,0,74,99853,45334
0,5,37,16542,140000
5,5,66,70015,7905
10,1,57,153000,46310
8,8,37,111000,17085
6,5,62,76278,36461
6,5,35,174000,49026
3,5,29,106000,16826
3,3,31,91964,44403
2,9,29,109000,9702
2,5,66,97235,43108
2,4,36,125000,27690
0,2,65,18769,158000
0,5,36,3121,210000
7,1,19,121000,37003
2,5,58,30469,163000
1,4,73,18199,26255
3,7,30,67038,14546
1,5,30,51557,6610
8,3,68,117000,4511
4,2,74,132000,48101
0,2,72,43871,135000
6,2,72,111000,21021
7,5,48,82794,25987
4,7,30,70396,16192
7,2,66,153000,17751
2,5,30,54642,25826
3,6,33,46141,5835
5,2,50,79518,24327
0,1,0,11917,2548
4,0,30,63901,14931
0,0,30,2148,85150
0,3,0,17420,2489
0,5,1,51881,15150
0,7,1,8274,97489
10,0,40,118000,0
0,2,25,1662,94881
1,4,3,61292,27234
0,5,2,32555,10265
1,0,37,57450,14866
0,1,19,32664,1810
0,5,1,14578,186000
0,4,1,45225,11192
0,3,3,34715,28980
2,4,3,68694,14894
5,0,38,111000,11676
6,0,40,105000,17535
1,0,40,41671,107000
12,0,25,55928,9661
5,2,11,45820,20796
0,6,5,42267,14417
2,0,33,44795,20042
0,6,5,29484,14137
0,3,8,34064,19865
2,0,11,25909,15188
0,8,4,930,69154
2,7,8,37303,10361
1,1,34,13160,90178
5,2,32,69133,20290
1,0,11,23884,4124
7,3,33,58437,6232
0,2,28,3651,31800
2,6,3,74685,27121
2,3,29,42640,16128
6,2,31,36387,11260
10,1,37,84966,21644
8,0,33,93391,16490
0,2,5,865,9833
3,3,11,31647,30464
0,4,13,14,21189
0,3,20,18969,1152
3,2,27,25744,8212
1,4,9,16166,4473
2,3,14,27735,13819
2,5,17,41613,11458
7,3,24,32252,15981
8,2,32,60682,22269
0,2,6,10793,1739
1,5,14,32724,3497
3,3,38,13089,132000
7,2,32,33240,9253
4,0,41,47544,8860
6,1,36,40217,7360
3,5,14,39894,11058
2,3,6,25662,5805
6,1,38,60360,24603
3,4,16,57858,5896
0,1,12,8952,8040
2,5,15,29027,11448
0,5,2,33176,8658
5,8,6,69126,23476
4,1,43,40354,5310
8,0,37,84610,27439
0,0,11,14609,35854
0,5,6,34986,4240
0,8,5,20058,19740
4,4,31,58767,12252
0,7,2,12077,71972
0,1,6,13899,3671
0,7,4,71939,23184
1,0,43,32943,132000
6,0,19,32993,13633
0,6,2,35047,14185
6,0,29,51702,10609
11,0,45,73707,9985
1,2,5,6484,9176
0,5,3,12490,5660
7,1,43,46532,10505
0,0,26,48640,14522
1,0,5,14303,5399
3,4,4,30847,16759
12,1,56,149000,26698
18,0,57,152000,22352
2,12,7,39212,5456
0,11,1,15465,101000
1,4,3,31769,17941
8,0,49,90389,3920
1,5,5,61647,7549
4,1,55,68222,6983
0,0,56,8293,172000
2,9,5,28573,6030
0,2,0,35529,80757
3,1,31,55062,8212
5,3,43,33594,9957
5,0,55,47337,1497
0,5,5,59232,29288
0,4,2,8688,1536
5,3,42,47939,21364
0,4,7,262,63689
0,6,14,1301,32519
2,2,25,92459,23224
4,2,45,33649,108000
2,1,48,46983,5533
4,2,25,89854,45154
9,2,47,115000,25790
1,8,18,69992,14492
5,4,34,42936,10297
7,3,34,76520,25227
3,3,19,79551,30500
2,1,15,40493,11818
1,2,46,3659,103000
2,3,24,49550,21463
0,2,17,6264,26442
4,5,29,51832,5118
3,0,36,42997,19836
3,3,42,44988,6049
2,6,16,43382,4365
0,4,11,1649,50125
2,1,40,28758,32037
2,7,23,52263,16942
1,5,20,34691,10242
2,2,26,165000,50531
6,3,41,56943,35698
7,3,20,60589,15457
0,0,40,5329,69404
2,0,46,4581,159000
9,3,33,91020,23466
0,4,18,27453,45385
5,1,20,47645,6252
1,5,14,57443,28676
3,4,10,12191,14884
4,3,37,69611,9949
4,1,48,42778,4660
0,0,52,24124,153000
5,0,49,150000,30278
0,1,15,18900,2895
3,3,9,43070,19440
0,3,20,22317,140000
1,2,49,4763,198000
1,5,16,25056,137000
0,5,18,18668,72885
9,1,47,54519,17024
3,6,16,39579,14599
5,0,51,39397,5143
2,2,50,76564,4179
1,3,15,29884,5894
2,2,38,64478,13138
3,3,17,76649,21046
7,1,52,89109,6004
2,3,31,66718,4707
2,4,18,75755,17614
5,4,49,78569,16698
5,3,34,29727,3713
0,1,39,955,60178
5,1,47,93622,5811
2,3,20,58851,19152
3,4,19,60023,2795
0,3,21,66294,18595
0,6,7,47352,17459
4,4,46,92363,11015
11,6,45,87688,26122
7,3,38,55830,22352
2,2,11,33564,8594
9,1,42,91504,23342
1,4,35,57012,37525
0,4,40,2846,135000
6,4,45,36044,9470
3,4,35,67142,46404
0,5,51,25910,35991
3,2,46,96845,16413
1,5,28,25122,124000
2,2,13,27231,5707
5,2,45,66497,20950
0,3,46,11801,139000
0,6,50,18543,84249
3,3,44,40570,31402
7,7,50,125000,32378
1,5,41,33844,3404
2,3,40,40710,9585
4,2,15,21259,8482
5,6,32,71283,28731
4,4,40,78060,26557
11,4,43,115000,37006
1,5,31,16039,77040
4,6,38,58690,11181
4,7,39,71170,8805
7,3,42,66795,17809
5,5,38,86945,33977
4,4,35,58609,30663
3,2,19,47185,18195
3,2,18,50542,74320
1,3,16,16626,15873
1,2,19,1269,81627
0,1,24,6701,83113
2,1,23,59800,11925
0,2,7,10604,25325
5,3,21,56444,24127
3,2,20,58668,13537
4,4,20,58033,20046
2,3,20,55706,17048
2,1,21,13828,14789
4,1,22,27808,9720
1,3,16,27662,9254
1,4,12,33853,6953
2,3,14,44074,22997
0,1,17,52165,9684
3,3,22,40583,4929
5,4,16,47112,21966
3,1,21,39123,17104
1,3,9,96410,13657
7,0,40,120000,33861
9,0,43,88729,31080
1,1,36,6531,93102
1,3,31,30194,28582
7,1,38,50707,11206
1,5,11,13655,77257
2,4,30,58107,48831
0,1,10,2588,80074
3,3,13,103000,20079
0,2,4,18380,2779
5,1,42,77114,20293
2,5,9,66520,12583
2,5,6,70324,27286
1,2,35,39316,3834
9,2,42,58599,4890
0,8,8,40713,24839
0,5,5,28258,35560
5,4,9,80759,14141
1,0,39,2565,170000
1,5,13,8375,99774
4,2,24,78785,16130
3,4,32,70267,10144
8,4,30,70889,26487
0,6,19,52220,21897
2,3,21,74775,29189
1,1,34,13954,208000
6,4,27,69413,22892
2,1,26,24010,91626
4,4,25,81299,25477
4,2,21,75936,15317
0,7,21,25427,105000
3,4,25,51027,9462
2,6,13,115000,19603
4,3,20,69465,8561
3,4,27,47178,9378
3,4,22,30211,3222
8,2,32,105000,33720
4,3,25,38208,8013
3,2,31,59346,14084
0,4,7,7611,5743
0,7,5,50091,1398
0,0,34,1554,127000
1,0,34,36620,119000
3,0,34,131000,3362
1,1,31,15474,74199
2,3,6,38758,8862
0,1,7,0,97298
0,4,6,31703,23663
0,0,6,37361,71316
2,3,5,157000,21982
15,1,32,103000,15377
2,0,34,89327,6970
1,4,7,28943,25171
1,2,33,35745,9200
1,6,6,44724,12841
5,1,30,40888,3933
2,2,30,27564,8466
1,3,3,5175,54224
2,0,34,32325,5893
0,4,20,37452,34708
4,0,43,153000,6715
2,1,26,27207,2647
0,2,26,4657,209000
3,5,23,100000,12499
1,3,41,29498,160000
6,1,43,111000,11156
8,4,26,90267,39885
6,5,22,110000,14997
0,5,24,26646,42153
1,5,38,37001,99769
4,1,43,113000,38077
4,7,20,50723,1533
3,3,35,104000,24877
2,6,34,48301,30790
4,0,35,69845,8525
0,3,25,898,242000
13,4,36,99191,10380
3,7,19,105000,20603
4,2,39,128000,30625
10,2,48,84576,29988
8,0,50,109000,19839
0,1,50,3738,143000
7,3,47,40081,6069
0,7,15,30002,10648
0,5,19,18937,100000
1,3,45,2573,85092
3,2,46,55281,2831
1,5,35,42471,5694
4,1,22,61820,25728
2,8,16,32711,9954
1,4,20,37479,6396
3,5,20,54201,9354
1,4,18,3490,43846
6,2,41,41153,13044
3,5,17,80002,23565
8,0,50,102000,23841
6,5,20,119000,23228
4,4,46,45510,10073
1,6,18,41611,16393
6,4,24,52695,25345
0,4,27,28108,20113
4,2,32,71977,1514
0,4,20,27415,12355
3,3,33,50517,13317
0,0,34,17636,109000
3,3,23,50239,18997
0,4,30,19629,87569
9,2,32,91965,20738
1,3,31,21503,2888
4,2,25,85229,17286
10,1,33,212000,21176
5,5,30,65103,10781
7,6,22,77932,28740
0,0,27,1281,189000
4,3,24,121000,31378
1,2,21,25849,8216
2,5,18,53364,7965
2,3,26,11844,72376
0,5,21,6664,63217
7,3,24,119000,32782
1,4,18,100000,22233
9,0,55,114000,24252
8,4,51,95000,32956
0,8,15,18416,157000
15,1,51,152000,37830
8,2,43,76820,13389
6,10,15,46259,7370
7,4,46,128000,44140
6,4,41,59827,14672
7,4,51,124000,6801
0,2,49,2617,167000
1,8,15,74555,67191
0,3,7,23858,12858
1,1,52,4858,281000
3,4,41,56661,9688
3,5,19,90463,17017
1,6,21,82700,11312
5,8,22,96655,28330
1,6,20,56592,43499
4,2,11,43848,16223
10,2,28,51918,18143
2,5,7,31745,7522
5,1,31,88732,12113
1,6,8,20053,4357
1,2,16,22429,9349
1,3,10,47174,17004
5,3,23,28098,3715
0,2,15,7097,42227
1,1,11,17031,2076
2,1,27,27813,5679
1,1,28,33688,9619
0,4,10,12997,19038
2,3,9,40645,13736
5,3,25,32651,10611
4,3,8,40786,12341
4,1,19,35607,18551
0,2,17,1767,71046
3,1,12,71576,18054
0,1,31,623,69320
2,5,23,61149,17803
5,7,29,85434,25430
9,4,23,69296,39877
2,6,22,104000,42276
5,2,21,66927,7766
10,0,39,113000,9861
0,4,20,32682,32452
6,5,28,42210,4459
1,4,22,20209,128000
0,3,26,12395,97101
0,2,15,3067,4617
5,6,21,61822,30752
6,2,40,89804,35855
0,6,9,17178,12626
4,7,25,77045,16977
7,5,22,58562,27483
3,4,17,34603,23084
1,1,29,40800,10906
8,1,42,80905,26023
0,4,28,49626,16990
0,5,34,12090,98080
4,0,12,48444,17459
6,6,32,117000,42210
0,5,26,1495,132000
1,3,31,10437,107000
3,5,32,100000,18330
9,6,32,125000,13100
3,5,32,118000,11833
2,5,31,48443,63386
5,1,33,40052,9265
12,3,38,98418,37005
3,7,35,57621,30235
4,7,29,79408,69097
1,4,27,93972,26411
8,1,37,90969,36229
1,2,32,10892,113000
10,5,32,150000,42645
6,4,32,81208,28129
0,3,29,53924,34405
1,5,14,49179,4133
0,5,13,15325,0
1,2,36,5279,95280
6,2,17,49015,4222
3,1,40,41963,114000
0,6,6,31415,21123
7,0,41,34279,5541
1,6,16,19682,44098
6,2,33,86577,49849
0,7,9,10888,57664
4,2,13,58848,4638
7,3,38,70954,4853
10,1,41,65618,14148
2,4,36,33003,20448
3,4,34,35091,15295
1,4,12,66141,15367
3,5,16,106000,28499
5,2,40,70420,18065
4,1,34,25700,8531
4,6,11,61605,15730
7,3,39,79710,9567
4,5,44,84333,4704
2,6,28,36170,7606
0,3,44,16260,150000
17,3,43,183000,38293
5,5,42,78180,24147
4,3,42,104000,7376
23,3,46,158000,32676
1,6,24,43471,3133
0,5,35,10648,72337
2,6,41,105000,27970
2,3,38,38418,2815
0,3,36,2385,42075
3,7,40,75692,17215
4,5,37,75061,30507
6,6,43,82892,14101
1,5,36,45938,7169
0,5,42,3662,203000
0,4,38,12342,153000
10,6,40,126000,33219
2,3,22,56122,6572
2,0,20,54619,7493
5,0,26,100000,66651
2,4,16,83874,36822
3,1,19,41207,5421
2,4,18,59347,8959
1,4,20,21032,149000
1,5,22,104000,22181
2,5,21,50837,36765
1,3,16,69104,21543
1,2,16,4785,114000
2,2,17,113000,8504
1,0,23,8015,175000
3,2,18,21244,145000
8,3,22,100000,13057
1,2,17,23351,70766
2,4,18,106000,21396
1,2,18,67814,14722
0,3,15,76533,48937
9,0,18,112000,24350
2,1,35,27577,36221
5,3,35,55725,5588
0,1,37,98,187000
4,4,12,76776,16654
2,4,33,44876,7810
3,2,29,22680,10562
0,4,12,43633,14753
7,2,35,38255,16370
11,0,39,92521,12660
0,6,11,8073,77698
1,5,10,24224,6901
1,3,32,43973,7924
3,2,34,46805,7971
0,1,3,995,3924
2,4,16,78083,13490
2,3,12,44596,18643
7,4,14,58066,23753
8,0,38,51209,7234
0,5,12,19817,9927
2,6,12,47490,18527
0,0,35,2554,235
3,0,37,50134,5833
0,0,36,1437,68535
0,6,3,25868,3136
1,0,34,13069,66975
0,7,3,9007,0
6,1,34,45365,10790
8,2,35,59124,17514
3,0,35,20757,8677
0,6,3,47598,25253
0,5,4,38473,18078
1,0,6,11662,6629
6,1,36,63180,16043
3,1,37,64251,3200
1,1,6,32453,5316
1,6,4,35014,6684
0,5,4,1180,30776
4,1,33,48417,4708
2,0,6,24701,5718
5,5,22,63134,15379
6,4,45,39943,16791
4,4,45,51297,15214
3,8,19,61903,19506
5,1,52,81676,15527
3,0,52,47969,10457
0,4,48,802,119000
